Point2D [x = 0.8026645164128062, y = 0.26773686387520845]
Point2D [x = 0.8166424831626823, y = 0.3576293505762002]
Point2D [x = 0.8311712381761632, y = 0.44711325361067683]
Point2D [x = 0.8462616671223094, y = 0.5360457873479147]
Point2D [x = 0.8619241176372119, y = 0.6242890419096404]
Point2D [x = 0.8781683516085419, y = 0.7117109091856058]
Point2D [x = 0.895003498728442, y = 0.7981859290550452]
Point2D [x = 0.9124380116430149, y = 0.8835960456505277]
Point2D [x = 0.9304796230213044, y = 0.9678312655770909]
Point2D [x = 0.9491353048584669, y = 1.0507902121863093]
Point2D [x = 0.9684112303169368, y = 1.1323805722297442]
Point2D [x = 0.9883127383959506, y = 1.2125194334095006]
Point2D [x = 1.0088443017039648, y = 1.2911335134416169]
Point2D [x = 1.030009497590445, y = 1.3681592831950167]
Point2D [x = 1.0518109828733742, y = 1.4435429882189124]
Point2D [x = 1.0742504723767823, y = 1.5172405744899473]
Point2D [x = 1.097328721468772, y = 1.5892175254734453]
Point2D [x = 1.1210455127650603, y = 1.6594486185885264]
Point2D [x = 1.1453996471360994, y = 1.7279176098927072]
Point2D [x = 1.1703889391275226, y = 1.7946168562654]
Point2D [x = 1.1960102168741262, y = 1.85954688458693]
Point2D [x = 1.222259326556992, y = 1.9227159174020476]
Point2D [x = 1.249131141421851, y = 1.9841393643508454]
Point2D [x = 1.2766195753445595, y = 2.043839288274896]
Point2D [x = 1.304717600896823, y = 2.101843854393127]
